quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-08 00:00,2026-09-07 22:00,206.27,206.24,200.54,98.99,46.52,103.1,143.04,1067.11,-2.07,145.11,SELL Spot,Settled
Q2,2026-09-08 00:15,2026-09-07 22:15,176.01,176.0,170.4,68.73,16.26,69.6,112.25,837.39,-1.0,113.25,SELL Spot,Settled
Q3,2026-09-08 00:30,2026-09-07 22:30,166.05,165.99,160.31,58.77,6.3,60.09,102.33,763.36,65.11,37.22,SELL Spot,Settled
Q4,2026-09-08 00:45,2026-09-07 22:45,163.74,163.76,157.96,56.46,3.99,56.79,99.85,744.91,28.68,71.17,SELL Spot,Settled
Q5,2026-09-08 01:00,2026-09-07 23:00,172.28,172.27,166.59,65.0,12.53,66.19,108.56,809.85,10.57,97.99,SELL Spot,Settled
Q6,2026-09-08 01:15,2026-09-07 23:15,164.89,164.93,159.08,57.61,5.14,57.49,100.92,752.88,0.0,100.92,SELL Spot,Settled
Q7,2026-09-08 01:30,2026-09-07 23:30,163.08,163.09,157.27,55.8,3.33,57.14,99.36,741.22,163.08,63.72,SELL Spot,Settled
Q8,2026-09-08 01:45,2026-09-07 23:45,156.6,156.6,150.74,49.32,-3.15,50.81,92.89,692.96,156.6,63.71,SELL Spot,Settled
Q9,2026-09-08 02:00,2026-09-08 00:00,153.4,153.37,147.51,46.12,-6.35,44.32,89.1,664.67,16.06,73.04,SELL Spot,Settled
Q10,2026-09-08 02:15,2026-09-08 00:15,150.27,150.25,144.32,42.99,-9.48,41.19,85.96,641.25,85.52,0.44,SELL Spot,Settled
Q11,2026-09-08 02:30,2026-09-08 00:30,151.2,151.19,145.16,43.92,-8.55,44.46,87.28,651.08,123.59,36.31,SELL Spot,Settled
Q12,2026-09-08 02:45,2026-09-08 00:45,151.55,151.54,145.57,44.27,-8.2,44.3,87.55,653.14,103.8,16.25,SELL Spot,Settled
Q13,2026-09-08 03:00,2026-09-08 01:00,148.17,148.2,141.99,40.89,-11.58,37.02,83.45,622.54,668.93,585.48,SELL Spot,Settled
Q14,2026-09-08 03:15,2026-09-08 01:15,149.7,149.64,143.34,42.42,-10.05,35.69,84.41,629.72,149.7,65.29,SELL Spot,Settled
Q15,2026-09-08 03:30,2026-09-08 01:30,149.23,149.24,142.46,41.95,-10.52,27.4,82.49,615.39,149.23,66.74,SELL Spot,Settled
Q16,2026-09-08 03:45,2026-09-08 01:45,149.24,149.17,141.66,41.96,-10.51,9.38,79.13,590.31,149.24,70.11,SELL Spot,Settled
Q17,2026-09-08 04:00,2026-09-08 02:00,150.24,150.22,143.08,42.96,-9.51,22.75,82.41,614.78,535.14,452.73,SELL Spot,Settled
Q18,2026-09-08 04:15,2026-09-08 02:15,150.75,150.76,142.67,43.47,-22.88,8.32,77.98,581.76,574.83,496.85,SELL Spot,Settled
Q19,2026-09-08 04:30,2026-09-08 02:30,152.46,152.42,144.25,45.18,-23.07,10.03,79.36,592.02,421.48,342.12,SELL Spot,Settled
Q20,2026-09-08 04:45,2026-09-08 02:45,150.7,150.72,142.33,43.42,-24.83,7.44,77.43,577.64,150.7,73.27,SELL Spot,Settled
Q21,2026-09-08 05:00,2026-09-08 03:00,153.85,153.86,144.1,46.57,-21.68,8.4,79.86,595.75,153.85,73.99,SELL Spot,Settled
