quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-11 00:00,2026-09-10 22:00,182.85,182.84,177.31,157.81,180.46,141.12,168.86,1259.71,182.85,13.99,SELL Spot,Settled
Q2,2026-09-11 00:15,2026-09-10 22:15,185.61,185.59,180.25,160.57,183.22,140.84,171.08,1276.28,157.46,13.62,SELL Spot,Settled
Q3,2026-09-11 00:30,2026-09-10 22:30,186.74,186.71,181.46,161.7,184.35,142.97,172.42,1286.25,69.15,103.27,SELL Spot,Settled
Q4,2026-09-11 00:45,2026-09-10 22:45,180.73,180.71,175.48,155.69,178.34,132.91,165.65,1235.77,93.72,71.93,SELL Spot,Settled
Q5,2026-09-11 01:00,2026-09-10 23:00,196.82,196.79,191.39,171.78,194.43,152.1,182.29,1359.86,121.28,61.01,SELL Spot,Settled
Q6,2026-09-11 01:15,2026-09-10 23:15,178.05,178.04,172.71,153.01,175.66,135.65,163.98,1223.26,43.65,120.33,SELL Spot,Settled
Q7,2026-09-11 01:30,2026-09-10 23:30,175.46,175.46,170.09,150.42,173.07,132.78,161.33,1203.53,175.46,14.13,SELL Spot,Settled
Q8,2026-09-11 01:45,2026-09-10 23:45,172.53,172.53,167.31,147.49,170.14,134.31,159.27,1188.18,172.53,13.26,SELL Spot,Settled
Q9,2026-09-11 02:00,2026-09-11 00:00,174.9,174.91,169.64,149.86,172.51,143.14,162.86,1214.91,135.92,26.94,SELL Spot,Settled
Q10,2026-09-11 02:15,2026-09-11 00:15,172.3,172.3,167.11,147.26,169.91,139.91,160.15,1194.71,97.41,62.74,SELL Spot,Settled
Q11,2026-09-11 02:30,2026-09-11 00:30,169.76,169.75,164.58,144.72,167.37,137.71,157.67,1176.24,291.53,133.86,SELL Spot,Settled
Q12,2026-09-11 02:45,2026-09-11 00:45,168.2,168.18,163.01,143.16,165.81,139.22,156.69,1168.88,168.77,12.08,SELL Spot,Settled
Q13,2026-09-11 03:00,2026-09-11 01:00,165.66,165.64,160.37,140.62,163.27,135.45,153.89,1148.05,165.66,11.77,SELL Spot,Settled
Q14,2026-09-11 03:15,2026-09-11 01:15,163.21,163.19,157.82,138.17,160.82,133.59,151.54,1130.45,138.86,12.68,SELL Spot,Settled
Q15,2026-09-11 03:30,2026-09-11 01:30,165.0,164.98,159.56,139.96,162.61,130.88,152.47,1137.39,165.0,12.53,SELL Spot,Settled
